Warehouse,Job Function,ID,Haptic Group,Baseline File Count,Baseline Average Lift Rate,Baseline Average Max Forward Bend,Baseline Average Max Tilt Velocity,Baseline Average Twist Velocity,Baseline Average Safety Score,Intervention File Count,Intervention Average Lift Rate,Intervention Average Max Forward Bend,Intervention Average Max Tilt Velocity,Intervention Average Twist Velocity,Intervention Average Safety Score
Albany,Package Handler,A8R965235592,3 bends in 8 minute window over 65 degrees,19,155.7,93.1,88.8,23.2,59.7,13,131.7,75.7,76.7,23.4,67.7
Albany,Package Handler,A8R948483372,2 bends in 5 minute window over 65 degrees,7,153.8,97.6,76.1,24.5,62.7,2,142.3,90.4,88.3,24.9,60.2
Albany,Package Handler,A8R976577272,2 bends in 10 minute window over 65 degrees,16,145.6,86.9,76.7,21,66.4,17,124.1,69.7,76.3,20.8,70.2
Albany,Package Handler,A8R948425406,2 bends in 5 minute window over 65 degrees,1,145.2,83.3,73.7,21.6,68.1,,,,,,
Albany,Package Handler,A8R971243592,2 bends in 5 minute window over 65 degrees,9,145.1,105,86.1,23.2,58.6,16,131.4,104,89.9,23.7,58.1
Albany,Package Handler,A8R948482072,2 bends in 10 minute window over 65 degrees,2,143.7,85.1,60.4,20.5,72.2,,,,,,
Albany,Package Handler,A8R948435519,2 bends in 5 minute window over 65 degrees,5,142.4,89.6,89.9,23.6,60.6,8,142.4,84.4,84.3,22.3,64.1
Albany,Package Handler,A8R948411102,2 bends in 10 minute window over 65 degrees,20,140.8,84.5,82.7,24.4,63.4,23,125.7,69.2,76.1,24.6,68.4
Albany,Package Handler,A8R948437702,2 bends in 5 minute window over 65 degrees,1,139.3,87,87,23,62.7,,,,,,
Albany,Package Handler,A8R965018732,2 bends in 5 minute window over 65 degrees,13,138.9,94,90.5,22.5,59.9,35,136.7,91.3,94.7,24.3,57.9
Albany,Package Handler,A8R951086468,2 bends in 5 minute window over 65 degrees,9,138.1,96.2,67,21.1,68.2,9,118.7,77.3,69.6,21.3,71.1
Albany,Package Handler,A8R964130092,3 bends in 8 minute window over 65 degrees,11,137.6,97.2,88.4,24,59.3,3,100.9,91.8,87,19.4,63.7
